country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","20-06-2026 19:00:00",25.32393,82.99687,PM2.5,22,65,41
India,TamilNadu,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB","20-06-2026 19:00:00",11.258242,77.552761,NH3,1,2,2
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB","20-06-2026 19:00:00",17.460103,78.334361,NH3,1,5,3
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB","20-06-2026 19:00:00",17.460103,78.334361,SO2,1,11,6
India,Telangana,Hyderabad,"Central University, Hyderabad - TSPCB","20-06-2026 19:00:00",17.460103,78.334361,CO,5,20,9
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB","20-06-2026 19:00:00",17.470431,78.566959,OZONE,13,39,37
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB","20-06-2026 19:00:00",17.518400,78.278777,NH3,1,2,2
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","20-06-2026 19:00:00",17.5316895,78.218939,SO2,1,18,10
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","20-06-2026 19:00:00",17.5316895,78.218939,OZONE,30,31,30
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","20-06-2026 19:00:00",17.585705,78.126199,PM10,NA,NA,NA
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","20-06-2026 19:00:00",17.585705,78.126199,NO2,10,18,12
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","20-06-2026 19:00:00",17.585705,78.126199,SO2,12,16,13
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB","20-06-2026 19:00:00",17.393559,78.339194,PM2.5,38,60,46
India,Uttar_Pradesh,Modinagar,"SRM University, Modinagar - UPPCB","20-06-2026 19:00:00",28.798171,77.540243,PM10,89,171,130
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","20-06-2026 19:00:00",28.83526,78.74460,PM10,76,128,99
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB","20-06-2026 19:00:00",28.840739,78.697531,PM10,66,145,111
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","20-06-2026 19:00:00",28.856664,78.772638,CO,38,39,39
